Extension,Instruction Count
A,22
ALIASES,11
C,54
D,51
F,54
H,17
M,13
Q,46
RV32I,86
S,2
SDEXT,1
SMRNMI,1
SSCTR,1
SVINVAL,5
SYSTEM,2
V,386
Zabha,20
Zacas,3
Zawrs,2
Zba,9
Zbb,27
Zbc,3
Zbkb,18
Zbkc,2
Zbkx,2
Zbs,12
Zcb,13
Zclsd,4
Zcmop,9
Zcmp,6
Zcmt,1
Zfa,33
Zfbfmin,2
Zfh,46
Zicbo,7
Zicfilp,1
Zicfiss,9
Zicntr,6
Zicond,2
Zicsr,13
Zifencei,1
Zihintntl,8
Zilsd,2
Zimop,42
Zk,47
Zkn,47
Zknd,7
Zkne,6
Zknh,14
Zks,26
Zksed,2
Zksh,2
Zvbb,16
Zvbc,4
Zvfbfmin,2
Zvfbfwma,2
Zvkg,2
Zvkn,23
Zvkned,11
Zvknha,3
Zvknhb,3
Zvks,14
Zvksed,3
Zvksh,2
